测试报告 - 机器人正向场景测试报告测试
测试完成，总用时: 1715238164.43秒
新增应用场景: Passed
新增应用组场景: Passed
新增组织以及旗下用户场景: Passed
新增设备组场以及旗下设备景: Passed
新增用户类型配置场景: Passed
组织用户行为策略_不控制_指定全局: Passed
组织用户行为策略_不控制_全局: Passed
组织用户行为策略_不控制_指定默认: Passed
组织访问策略场景_全不启用: Passed
组织访问策略场景_全启用_全局: Passed
组织访问策略场景_全启用_指定: Passed
组织安全策略场景_允许_全局: Passed
组织安全策略场景_不允许_全局: Passed
组织安全策略场景_不控制_全局: Passed
组织脱敏策略场景_保留6位_不启用: Passed
组织脱敏策略场景_保留6位_启用_指定: Passed
组织水印策略场景_全禁止: Passed
组织水印策略场景_允许明水印_指定: Passed
组织水印策略场景_允许明水印_自定义水印: Passed
组织客户端场景_全显示: Passed
组织客户端场景_不显示: Passed
设备用户行为策略_不控制_指定全局: Passed
设备用户行为策略_不控制_全局: Passed
设备用户行为策略_不控制_指定默认: Passed
设备访问策略场景_全不启用: Passed
设备访问策略场景_全启用_全局: Passed
设备访问策略场景_全启用_指定: Passed
设备安全策略场景_允许_全局: Passed
设备安全策略场景_不允许_全局: Passed
设备安全策略场景_不控制_全局: Passed
设备脱敏策略场景_保留6位_不启用: Passed
设备脱敏策略场景_保留6位_启用_指定: Passed
设备水印策略场景_全禁止: Passed
设备水印策略场景_允许明水印_指定: Passed
设备水印策略场景_允许明水印_自定义水印: Passed
设备客户端场景_全显示: Passed
设备客户端场景_不显示: Passed
